folder	file	line	flags	法人番号	会社名
unit_million	111.fixed.csv	76	corporate_number_invalid_shape	9.05E+12	根崎解体工事株式会社
unit_million	111.fixed.csv	77	corporate_number_invalid_shape	7.05E+12	株式会社コメディコつくば
unit_million	111.fixed.csv	78	corporate_number_invalid_shape	9.05E+12	成島建設株式会社
unit_million	111.fixed.csv	79	corporate_number_invalid_shape	7.05E+12	ハートリンクス株式会社
unit_million	111.fixed.csv	80	corporate_number_invalid_shape	6.05E+12	大成ブリキ印刷株式会社
unit_million	111.fixed.csv	81	corporate_number_invalid_shape	7.05E+12	大里産業株式会社
unit_million	111.fixed.csv	82	corporate_number_invalid_shape	3.05E+12	株式会社関川畳商店
unit_million	111.fixed.csv	83	corporate_number_invalid_shape	7.05E+12	株式会社トータル・サポート・システム
unit_million	111.fixed.csv	84	corporate_number_invalid_shape	2.05E+12	有限会社ファーマティカ
unit_million	111.fixed.csv	85	corporate_number_invalid_shape	2.05E+12	高萩商事株式会社
unit_million	111.fixed.csv	86	corporate_number_invalid_shape	8.05E+12	株式会社ワコー
unit_million	111.fixed.csv	87	corporate_number_invalid_shape	6.05E+12	株式会社ユニフード
unit_million	111.fixed.csv	88	corporate_number_invalid_shape	6.05E+12	株式会社トライアルジャパン
unit_million	111.fixed.csv	89	corporate_number_invalid_shape	3.05E+12	株式会社東アサヒ
unit_million	111.fixed.csv	90	corporate_number_invalid_shape	8.05E+12	株式会社沼崎商事
unit_million	111.fixed.csv	91	corporate_number_invalid_shape	1.05E+12	常磐建設株式会社
unit_million	111.fixed.csv	92	corporate_number_invalid_shape	2.05E+12	株式会社佐瀬トータルケアセンター
unit_million	111.fixed.csv	93	corporate_number_invalid_shape	2.05E+12	ナチュラルペットフーズ株式会社
unit_million	111.fixed.csv	94	corporate_number_invalid_shape	6.05E+12	株式会社バース
unit_million	111.fixed.csv	95	corporate_number_invalid_shape	9.05E+12	株式会社エヌエステイー製作所
unit_million	111.fixed.csv	96	corporate_number_invalid_shape	8.05E+12	株式会社ハウスメイク牛久
unit_million	111.fixed.csv	97	corporate_number_invalid_shape	1.05E+12	株式会社池貝ディーゼル
unit_million	111.fixed.csv	98	corporate_number_invalid_shape	2.05E+12	株式会社磯山商事
unit_million	111.fixed.csv	99	corporate_number_invalid_shape	6.05E+12	株式会社ヒバラコーポレーション
unit_million	111.fixed.csv	100	corporate_number_invalid_shape	4.05E+12	株式会社マコトサービス
unit_million	111.fixed.csv	101	corporate_number_invalid_shape	5.05E+12	伸栄工業株式会社
unit_million	111.fixed.csv	102	corporate_number_invalid_shape	8.05E+12	株式会社アペックス
unit_million	111.fixed.csv	103	corporate_number_invalid_shape	3.05E+12	株式会社明和技術コンサルタンツ
unit_million	111.fixed.csv	104	corporate_number_invalid_shape	6.05E+12	株式会社八甲商会
unit_million	111.fixed.csv	105	corporate_number_invalid_shape	4.05E+12	株式会社ハーベストジャパン
unit_million	111.fixed.csv	106	corporate_number_invalid_shape	5.05E+12	株式会社タヤマ
unit_million	111.fixed.csv	107	corporate_number_invalid_shape	8.05E+12	株式会社大平
unit_million	111.fixed.csv	108	corporate_number_invalid_shape	8.05E+12	株式会社県央福祉サービス
unit_million	111.fixed.csv	109	corporate_number_invalid_shape	3.05E+12	有限会社まるせん米菓
unit_million	111.fixed.csv	110	corporate_number_invalid_shape	2.05E+12	株式会社クオン
unit_million	111.fixed.csv	111	corporate_number_invalid_shape	7.05E+12	株式会社UNICO
unit_million	111.fixed.csv	112	corporate_number_invalid_shape	6.05E+12	鈴木工務店株式会社
unit_million	111.fixed.csv	113	corporate_number_invalid_shape	9.05E+12	水木木材工業株式会社
unit_million	111.fixed.csv	114	corporate_number_invalid_shape	5.05E+12	株式会社小田倉建設
unit_million	111.fixed.csv	115	corporate_number_invalid_shape	8.05E+12	株式会社ハヤカワキャスティング
unit_million	111.fixed.csv	116	corporate_number_invalid_shape	6.05E+12	株式会社龍崎工務店
unit_million	111.fixed.csv	117	corporate_number_invalid_shape	5.05E+12	株式会社照沼商事
unit_million	111.fixed.csv	118	corporate_number_invalid_shape	6.05E+12	硝和ガラス株式会社
unit_million	111.fixed.csv	119	corporate_number_invalid_shape	7.05E+12	株式会社丸木屋製作所
unit_million	111.fixed.csv	120	corporate_number_invalid_shape	1.05E+12	株式会社カジマ
